47.472	0.063
47.588	0.068
47.713	0.063
47.823	0.043
47.939	0.068
48.066	0.068
48.173	0.073
48.291	0.073
48.416	0.073
48.523	0.048
48.643	0.063
48.768	0.048
48.875	0.063
48.999	0.034
49.108	0.063
49.226	0.058
49.351	0.063
49.458	0.063
49.577	0.053
49.702	0.063
49.808	0.043
49.928	0.068
